step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
390,611008,12480,0.02818300942857088,0.65625,0.65625,,,,,
391,612576,12512,0.02260817858221979,0.75,0.75,,,,,
392,614144,12544,0.027028764743768502,0.71875,0.71875,,,,,
393,616224,12576,0.015957645527245514,0.84375,0.84375,0.02156831795721542,0.84375,0.84375,,
394,617792,12608,0.021902819643665344,0.90625,0.90625,,,,,
395,619360,12640,0.019090547304909364,0.875,0.875,,,,,
396,620928,12672,0.020760073496775555,0.875,0.875,,,,,
397,622752,12704,0.01819176334870934,0.75,0.75,,,,,
398,624320,12736,0.02604879384364604,0.75,0.75,,,,,
399,625888,12768,0.02003291667351607,0.84375,0.84375,,,,,
400,627456,12800,0.02468833601484875,0.78125,0.78125,,,,,
401,629024,12832,0.020199277487114104,0.84375,0.84375,0.01697504933914741,0.875,0.875,,
402,630592,12864,0.024844064288438546,0.6875,0.6875,,,,,
